2024-01-01,2.146
2024-01-02,1.165
2024-01-03,2.875
2024-01-04,0.917
2024-01-05,0.977
2024-01-06,0.526
2024-01-07,3.261
2024-01-08,2.262
2024-01-09,3.461
2024-01-10,3.112
2024-01-11,1.515
2024-01-12,3.627
2024-01-13,2.562
2024-01-14,1.574
2024-01-15,3.057
2024-01-16,2.375
2024-01-17,5.144
2024-01-18,2.404
2024-01-19,4.373
2024-01-20,5.262
2024-01-21,3.446
2024-01-22,4.462
2024-01-23,6.498
2024-01-24,6.36
2024-01-25,7.323
2024-01-26,6.931
2024-01-27,7.73
2024-01-28,7.25
2024-01-29,6.121
2024-01-30,24.493
2024-01-31,5.836
2024-02-01,3.948
2024-02-02,4.635
2024-02-03,7.946
2024-02-04,1.839
2024-02-05,0.065
2024-02-06,0.124
2024-02-07,0.691
2024-02-08,0.519
2024-02-09,0.27
2024-02-10,0.579
2024-02-11,0.321
2024-02-12,0.089
2024-02-13,0.05
2024-02-14,0.024
2024-02-15,0.004
2024-02-16,0.0
2024-02-17,0.0
2024-02-18,0.036
2024-02-19,0.019
2024-02-20,0.175
2024-02-21,0.139
