2024-01-01,
2024-01-02,
2024-01-03,
2024-01-04,
2024-01-05,
2024-01-06,9.103
2024-01-07,13.514
2024-01-08,8.544
2024-01-09,10.773
2024-01-10,7.858
2024-01-11,11.922
2024-01-12,11.377
2024-01-13,12.347
2024-01-14,11.606
2024-01-15,6.425
2024-01-16,8.564
2024-01-17,12.355
2024-01-18,4.625
2024-01-19,11.159
2024-01-20,8.909
2024-01-21,10.465
2024-01-22,12.231
2024-01-23,7.89
2024-01-24,6.669
2024-01-25,14.647
2024-01-26,7.53
2024-01-27,12.29
2024-01-28,7.009
2024-01-29,8.125
2024-01-30,13.601
2024-01-31,10.926
2024-02-01,9.491
2024-02-02,10.925
2024-02-03,12.717
2024-02-04,11.658
2024-02-05,11.289
2024-02-06,1.589
2024-02-07,0.0
2024-02-08,0.0
2024-02-09,0.0
2024-02-10,0.0
2024-02-11,0.0
2024-02-12,0.0
2024-02-13,0.0
2024-02-14,0.0
2024-02-15,8.226
2024-02-16,12.011
2024-02-17,13.955
2024-02-18,12.453
2024-02-19,9.306
2024-02-20,0.0
2024-02-21,0.0
