2024-01-01,18.262
2024-01-02,20.228
2024-01-03,13.03
2024-01-04,19.293
2024-01-05,21.176
2024-01-06,22.974
2024-01-07,17.969
2024-01-08,33.395
2024-01-09,36.663
2024-01-10,25.898
2024-01-11,21.271
2024-01-12,36.169
2024-01-13,15.614
2024-01-14,35.54
2024-01-15,33.308
2024-01-16,36.123
2024-01-17,32.179
2024-01-18,35.937
2024-01-19,31.082
2024-01-20,31.877
2024-01-21,13.509
2024-01-22,35.988
2024-01-23,36.526
2024-01-24,34.78
2024-01-25,32.401
2024-01-26,36.176
2024-01-27,35.443
2024-01-28,35.113
2024-01-29,34.566
2024-01-30,32.454
2024-01-31,21.321
2024-02-01,16.515
2024-02-02,3.067
2024-02-03,0.0
2024-02-04,0.0
2024-02-05,0.0
2024-02-06,0.0
2024-02-07,0.0
2024-02-08,0.0
2024-02-09,0.0
2024-02-10,0.0
2024-02-11,0.0
2024-02-12,0.0
2024-02-13,0.0
2024-02-14,1.37
2024-02-15,18.924
2024-02-16,17.74
2024-02-17,20.107
2024-02-18,16.079
2024-02-19,15.821
2024-02-20,13.675
2024-02-21,0.002
