2024-01-01,81.17
2024-01-02,63.753
2024-01-03,92.659
2024-01-04,86.181
2024-01-05,92.8
2024-01-06,93.518
2024-01-07,94.063
2024-01-08,97.137
2024-01-09,68.088
2024-01-10,47.822
2024-01-11,60.915
2024-01-12,106.033
2024-01-13,112.766
2024-01-14,120.873
2024-01-15,108.813
2024-01-16,103.649
2024-01-17,105.379
2024-01-18,117.974
2024-01-19,130.608
2024-01-20,132.623
2024-01-21,145.549
2024-01-22,9.107
2024-01-23,0.011
2024-01-24,0.017
2024-01-25,63.301
2024-01-26,84.641
2024-01-27,26.637
2024-01-28,88.472
2024-01-29,138.964
2024-01-30,140.026
2024-01-31,140.757
2024-02-01,96.174
2024-02-02,89.157
2024-02-03,95.699
2024-02-04,3.971
2024-02-05,
2024-02-06,
2024-02-07,
2024-02-08,
2024-02-09,
2024-02-10,
2024-02-11,
2024-02-12,
2024-02-13,
2024-02-14,
2024-02-15,
2024-02-16,
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,
2024-02-21,
